Count,Timestamp,"What location is this salary for? Select Remote-US if applicable. If Remote Canada, select Canadian HQ location. ",Position Title,"Base Salary $ (please quote in CAD) eg. 120,000 please DO NOT put ranges","Equity value (please quote into monetary value) eg. 20,000","Bonus, including sign on bonus $ (please quote in CAD, 0 if none) eg. 20,000",Other cash or equity,Total Compensation,"Years of Experience,  please include internships and co-ops eg. 1, 2.5, 5","Highest Education Achieved (most relevant, if possible)",Did you attend a tech bootcamp?,What year is this salary applicable for? ,Industry,"If you selected ""Other"" for industry, what industry is it?","Is this company considered to be FAANG/MMANGA (Microsoft, Apple, Amazon, Google, Facebook/Meta)",Company Size,,,Company Name (optional) 
1,12/7/2021 15:55:44,British Columbia (BC),Associate Solutions Engineer,"$63,000.00",$0.00,$0.00,,"$63,000.00",2,Bachelor's Degree - Related,Unknown,2020,Video Games,,No,101-300,,,
2,12/7/2021 15:58:15,British Columbia (BC),Software Development Engineer,"$102,000.00","$86,000.00","$22,000.00","20,500","$230,500.00",1,Bachelor's Degree - Related,Unknown,2021,Tech,,Yes,1000+,,,
3,12/7/2021 16:01:06,British Columbia (BC),Software Developer,"$100,000.00",$0.00,$0.00,,"$100,000.00",1.5,Diploma - Related,Unknown,2021,ERP or CRM,,No,501-1000,,,
4,12/7/2021 16:03:27,British Columbia (BC),Software Engineer,"$150,000.00",$0.00,$0.00,,"$150,000.00",2.5,High School Diploma Only,Unknown,2021,eCommerce,,No,101-200,,,
5,12/7/2021 16:05:49,British Columbia (BC),Firmware Engineer - Co-op,"$56,000.00","$2,000.00",$0.00,,"$58,000.00",1,Bachelor's Degree - Related,Unknown,2021,Other,Semiconductors,No,1000+,,,
6,12/7/2021 16:06:30,British Columbia (BC),Full Stack Developer,"$65,000.00",$0.00,$0.00,,"$65,000.00",2,Bachelor's Degree - Related,Unknown,2021,Consulting,,No,101-200,,,
7,12/7/2021 16:08:22,British Columbia (BC),Software Engineer,"$103,000.00","$20,000.00","$67,000.00",,"$190,000.00",4,Diploma - Related,Unknown,2021,Networking,,No,501-1000,,,
8,12/7/2021 16:09:21,British Columbia (BC),Software Development Engineer,"$102,000.00","$86,000.00","$22,000.00","20,500","$230,500.00",0,Bachelor's Degree - Related,Unknown,2021,Tech,,Yes,1000+,,,
9,12/7/2021 16:10:45,Alberta (AB),Software Developer,"$77,000.00",$0.00,$0.00,,"$77,000.00",2,Bachelor's Degree - Related,Unknown,2021,B2B,,No,501-1000,,,
10,12/7/2021 16:13:02,Alberta (AB),Software Developer,"$55,000.00",$0.00,"$5,000.00",,"$60,000.00",0.25,Diploma - Related,Unknown,2017,Oil and Gas/Energy,,No,< 10,,,
